表140-09005：2019至20年住戶開支統計調查 - 按房屋類型及商品或服務類別與組別劃分的住戶每月平均開支,,,,,,,,
 ,,,,,,,,
年,2019/2020,2019/2020,2019/2020,2019/2020,2019/2020,2019/2020,2019/2020,2019/2020
房屋類型,公營房屋,公營房屋,資助房屋,資助房屋,私人房屋,私人房屋,總數,總數
 ,住戶每月平均開支,住戶每月平均開支,住戶每月平均開支,住戶每月平均開支,住戶每月平均開支,住戶每月平均開支,住戶每月平均開支,住戶每月平均開支
,港元,%,港元,%,港元,%,港元,%
商品／服務類別及組別,,,,,,,,
食品,7080,47.1,7821,28.3,8654,22.8,8107,26.8
      1. 外出用膳及外賣,4268,28.4,4745,17.2,5482,14.5,5045,16.7
       基本食品（即第2至27組）,2812,18.7,3076,11.1,3172,8.4,3061,10.1
      2. 米,67,0.4,54,0.2,65,0.2,64,0.2
      3. 其他穀類及穀類製品,74,0.5,76,0.3,96,0.3,87,0.3
      4. 麵包、餅、餅乾及糕點,150,1.0,209,0.8,194,0.5,184,0.6
      5. 鹹水魚,268,1.8,281,1.0,251,0.7,260,0.9
      6. 淡水魚,98,0.7,87,0.3,70,0.2,80,0.3
      7. 其他新鮮海產,79,0.5,86,0.3,100,0.3,92,0.3
      8. 海味,141,0.9,171,0.6,192,0.5,175,0.6
      9. 豬肉,440,2.9,405,1.5,367,1.0,392,1.3
     10. 牛肉,70,0.5,86,0.3,111,0.3,96,0.3
     11. 家禽,115,0.8,134,0.5,125,0.3,124,0.4
     12. 凍肉,216,1.4,246,0.9,302,0.8,271,0.9
     13. 罐裝肉類,18,0.1,17,0.1,15,[-§32],17,0.1
     14. 其他肉類,82,0.5,94,0.3,66,0.2,75,0.2
     15. 新鮮蔬菜,361,2.4,365,1.3,376,1.0,371,1.2
     16. 蔬菜製品,13,0.1,13,[-§32],16,[-§32],15,[-§32]
     17. 鮮果,186,1.2,223,0.8,253,0.7,231,0.8
     18. 果類製品,5,[-§32],9,[-§32],7,[-§32],7,[-§32]
     19. 奶類製品,63,0.4,105,0.4,120,0.3,102,0.3
     20. 蛋,50,0.3,50,0.2,51,0.1,51,0.2
     21. 食油,36,0.2,27,0.1,34,0.1,33,0.1
     22. 汽水,17,0.1,15,0.1,19,0.1,18,0.1
     23. 其他不含酒精飲品,66,0.4,77,0.3,85,0.2,79,0.3
     24. 糖,4,[-§32],4,[-§32],5,[-§32],5,[-§32]
     25. 糖果,18,0.1,26,0.1,23,0.1,22,0.1
     26. 調味品及配料,24,0.2,33,0.1,38,0.1,34,0.1
     27. 其他食品,149,1.0,181,0.7,192,0.5,179,0.6
住屋,1777,11.8,11184,40.5,16670,44.0,11865,39.3
     28. 租金（連差餉及地租）,1701,11.3,10100,36.6,15218,40.2,10836,35.8
     29. 管理費及其他住屋雜費,76,0.5,1084,3.9,1452,3.8,1030,3.4
電力、燃氣及水,575,3.8,678,2.5,742,2.0,688,2.3
     30. 電力,282,1.9,343,1.2,440,1.2,383,1.3
     31. 煤氣,211,1.4,238,0.9,173,0.5,193,0.6
     32. 石油氣及其他燃料,13,0.1,21,0.1,47,0.1,34,0.1
     33. 水費及排污費,70,0.5,76,0.3,81,0.2,77,0.3
煙酒,175,1.2,126,0.5,158,0.4,157,0.5
     34. 餐酒及烈酒,13,0.1,16,0.1,68,0.2,45,0.1
     35. 啤酒,15,0.1,15,0.1,17,[-§32],16,0.1
     36. 香煙,147,1.0,95,0.3,72,0.2,96,0.3
衣履,525,3.5,631,2.3,881,2.3,748,2.5
     37. 男裝外衣,114,0.8,165,0.6,196,0.5,170,0.6
     38. 男裝內衣,7,[-§32],5,[-§32],13,[-§32],10,[-§32]
     39. 女裝外衣,202,1.3,226,0.8,350,0.9,291,1.0
     40. 女裝內衣,23,0.2,38,0.1,27,0.1,28,0.1
     41. 童裝外衣,36,0.2,31,0.1,64,0.2,52,0.2
     42. 童裝內衣,7,[-§32],3,[-§32],4,[-§32],5,[-§32]
     43. 嬰兒衣物,3,[-§32],2,[-§32],12,[-§32],8,[-§32]
     44. 其他衣物,9,0.1,19,0.1,28,0.1,21,0.1
     45. 男裝鞋,63,0.4,58,0.2,77,0.2,70,0.2
     46. 女裝鞋,55,0.4,81,0.3,96,0.3,83,0.3
     47. 童裝及嬰兒鞋,6,[-§32],3,[-§32],14,[-§32],10,[-§32]
耐用物品,824,5.5,1130,4.1,1585,4.2,1312,4.3
     48. 家具,85,0.6,76,0.3,134,0.4,112,0.4
     49. 家庭電器及氣體用具,229,1.5,271,1.0,313,0.8,284,0.9
     50. 影音器材,35,0.2,70,0.3,85,0.2,70,0.2
     51. 資訊科技及電訊設備,342,2.3,417,1.5,517,1.4,455,1.5
     52. 餐具及廚房用具,17,0.1,32,0.1,31,0.1,27,0.1
     53. 鐘錶、照相機及光學用品,45,0.3,127,0.5,223,0.6,161,0.5
     54. 旅行用品、手袋及其他個人隨身物品,66,0.4,134,0.5,245,0.6,180,0.6
     55. 其他耐用物品,5,[-§32],3,[-§32],37,0.1,23,0.1
雜項物品,840,5.6,1101,4.0,1154,3.0,1062,3.5
     56. 藥物,322,2.1,393,1.4,315,0.8,329,1.1
     57. 報紙、書籍及期刊,22,0.1,31,0.1,46,0.1,37,0.1
     58. 文具,20,0.1,29,0.1,40,0.1,33,0.1
     59. 檯布、窗簾、床單、被褥等,37,0.2,43,0.2,50,0.1,45,0.1
     60. 化妝品及個人護理用品,220,1.5,282,1.0,298,0.8,275,0.9
     61. 家居清潔用具及用品,50,0.3,59,0.2,52,0.1,52,0.2
     62. 首飾,17,0.1,75,0.3,89,0.2,68,0.2
     63. 玩具及嗜好用品,33,0.2,58,0.2,72,0.2,59,0.2
     64. 購買教科書,93,0.6,82,0.3,137,0.4,117,0.4
     65. 其他家庭用品,28,0.2,50,0.2,55,0.1,47,0.2
交通,1037,6.9,1616,5.8,2601,6.9,2033,6.7
     66. 購買及維修車輛,87,0.6,107,0.4,359,0.9,247,0.8
     67. 汽油,42,0.3,124,0.4,272,0.7,188,0.6
     68. 汽車牌照、保險、學車、泊車及隧道收費,125,0.8,407,1.5,817,2.2,569,1.9
     69. 巴士車費,278,1.8,285,1.0,235,0.6,254,0.8
     70. 電車車費,[-§19],[-§32],[-§19],[-§32],2,[-§32],2,[-§32]
     71. 公共小型巴士車費,105,0.7,82,0.3,87,0.2,91,0.3
     72. 的士車費,44,0.3,80,0.3,146,0.4,108,0.4
     73. 港鐵車費,284,1.9,350,1.3,322,0.8,316,1.0
     74. 渡海小輪船費,3,[-§32],3,[-§32],12,[-§32],8,[-§32]
     75. 其他本地交通工具費用,25,0.2,46,0.2,121,0.3,84,0.3
     76. 進出香港交通費用,45,0.3,131,0.5,228,0.6,165,0.5
雜項服務,2185,14.6,3343,12.1,5451,14.4,4257,14.1
     77. 學費,759,5.1,993,3.6,1728,4.6,1357,4.5
     78. 其他教育費用,24,0.2,32,0.1,62,0.2,47,0.2
     79. 醫療服務,450,3.0,660,2.4,958,2.5,777,2.6
     80. 電影娛樂,9,0.1,14,[-§32],11,[-§32],11,[-§32]
     81. 旅遊,61,0.4,196,0.7,289,0.8,214,0.7
     82. 宴會開支,1,[-§32],10,[-§32],32,0.1,20,0.1
     83. 其他娛樂及假期開支,16,0.1,28,0.1,43,0.1,34,0.1
     84. 家庭服務,162,1.1,455,1.6,1114,2.9,759,2.5
     85. 理髮,34,0.2,55,0.2,46,0.1,44,0.1
     86. 美容及健身服務,34,0.2,137,0.5,205,0.5,149,0.5
     87. 資訊及通訊服務,530,3.5,607,2.2,668,1.8,622,2.1
     88. 其他服務,106,0.7,157,0.6,293,0.8,222,0.7
總數,15018,100.0,27631,100.0,37895,100.0,30230,100.0
 ,,,,,,,,
註釋：,,,,,,,,
(a) 住戶開支統計調查每5年進行一次，搜集本港住戶開支模式的最新資料，用作更新消費物價指數的開支權數。「2019/20年住戶開支統計調查」在2019年10月至2020年9月期間進行。,,,,,,,,
(b) 由於進位關係，個別項目的數字或百分比相加可能不等於總數。,,,,,,,,
(c) 第77組別「學費」包括「幼稚園」、「小學」、「中學」、「毅進文憑、工藝程度及技術員程度」、「專上學院（包括遙距課程）」、「私立專業進修」、「語言課程」及「其他課程」。「補習學校及補習開支」也包括在內。,,,,,,,,
(d) 醫療開支的統計數字被歸納於第56組別「藥物」及第79組別「醫療服務」內。,,,,,,,,
(e) 政府統計處已就分類系統作出檢討。一些組別已被重新劃分和／或命名。分類中涵蓋的商品或服務組別總數由2014/15年住戶開支統計調查的94項，減少至2019/20年住戶開支統計調查的88項。,,,,,,,,
(f) 「2019/20年住戶開支統計調查」的數據搜集工作在2019年10月至2020年9月進行，期間消費行為嚴重受到2019冠狀病毒病疫情的影響，住戶在某些商品或服務上的開支與正常情況的開支應有顯著偏差。因此應小心闡釋統計調查所得的住戶開支數據。,,,,,,,,
[-§32] 少於0.05%,,,,,,,,
[-§19] 少於0.5元,,,,,,,,
 ,,,,,,,,
資料來源：,,,,,,,,
住戶開支統計調查,,,,,,,,
"政府統計處物價研究分析組（二）,",,,,,,,,
(查詢電話：3903 7384,,,,,,,,
 查詢電郵：hes@censtatd.gov.hk),,,,,,,,
 ,,,,,,,,
發布日期：2021年6月17日,,,,,,,,
